iter	Passed	Remaining
0	0	84
1	1	75
2	2	72
3	2	66
4	4	77
5	4	77
6	5	75
7	6	73
8	7	71
9	7	69
10	8	67
11	9	66
12	9	65
13	10	63
14	11	64
15	12	63
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	60
24	19	59
25	20	58
26	21	58
27	22	57
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	27
63	46	26
64	47	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	72	0
