iter	Passed	Remaining
0	102	102122
1	103	51520
2	104	34655
3	105	26193
4	106	21287
5	107	17891
6	111	15827
7	112	13977
8	113	12531
9	115	11400
10	116	10447
11	118	9747
12	119	9093
13	120	8515
14	121	8004
15	124	7632
16	125	7247
17	126	6888
18	127	6562
19	127	6271
20	128	6011
21	129	5770
22	130	5549
23	131	5362
24	132	5182
25	133	5013
26	134	4852
27	135	4703
28	136	4564
29	137	4450
30	139	4350
31	144	4356
32	145	4250
33	145	4144
34	147	4068
35	148	3977
36	149	3886
37	150	3801
38	151	3721
39	151	3644
40	153	3581
41	154	3518
42	155	3452
43	155	3388
44	156	3327
45	157	3269
46	158	3213
47	159	3160
48	160	3111
49	161	3067
50	162	3024
51	163	2980
52	164	2936
53	165	2895
54	166	2855
55	167	2822
56	168	2785
57	169	2749
58	170	2714
59	171	2680
60	172	2649
61	172	2617
62	173	2586
63	174	2556
64	175	2531
65	177	2506
66	178	2480
67	179	2454
68	179	2427
69	180	2399
70	181	2373
71	182	2350
72	183	2325
73	183	2301
74	184	2276
75	185	2253
76	186	2229
77	186	2207
78	187	2185
79	188	2164
80	188	2143
81	189	2123
82	190	2099
83	191	2082
84	192	2066
85	192	2048
86	193	2031
87	194	2013
88	195	1996
89	195	1979
90	196	1964
91	197	1950
92	198	1935
93	199	1919
94	199	1904
95	200	1889
96	201	1874
97	202	1860
98	202	1845
99	203	1831
100	204	1817
101	205	1807
102	206	1796
103	207	1783
104	207	1771
105	208	1758
106	209	1746
107	210	1734
108	211	1728
109	212	1718
110	213	1708
111	214	1698
112	254	1999
113	255	1988
114	256	1977
115	258	1966
116	258	1953
117	261	1953
118	262	1943
119	263	1932
120	264	1921
121	265	1909
122	266	1899
123	267	1888
124	268	1878
125	269	1871
126	270	1860
127	271	1851
128	272	1841
129	273	1832
130	274	1823
131	276	1821
132	278	1812
133	279	1803
134	280	1795
135	281	1786
136	282	1778
137	283	1769
138	286	1772
139	289	1779
140	290	1772
141	291	1761
142	292	1753
143	293	1745
144	294	1737
145	295	1729
146	296	1722
147	298	1716
148	299	1711
149	300	1704
150	301	1697
151	302	1689
152	303	1682
153	305	1677
154	306	1670
155	307	1664
156	308	1657
157	309	1650
158	311	1645
159	312	1638
160	313	1631
161	314	1626
162	315	1619
163	316	1613
164	317	1606
165	319	1607
166	321	1604
167	322	1597
168	323	1591
169	324	1585
170	325	1578
171	328	1578
172	329	1574
173	330	1567
174	331	1561
175	332	1554
176	333	1551
177	335	1547
178	336	1541
179	337	1536
180	338	1530
181	339	1525
182	341	1524
183	342	1519
184	343	1513
185	344	1508
186	345	1502
187	346	1497
188	347	1492
189	349	1489
190	350	1484
191	356	1502
192	358	1499
193	360	1497
194	361	1492
195	362	1486
196	363	1483
197	365	1479
198	366	1474
199	367	1468
200	367	1462
201	368	1457
202	369	1451
203	371	1448
204	372	1444
205	373	1438
206	374	1433
207	374	1427
208	375	1421
209	376	1417
210	377	1412
211	381	1417
212	382	1412
213	383	1407
214	384	1404
215	385	1400
216	386	1395
217	387	1390
218	388	1385
219	389	1380
220	390	1375
221	391	1370
222	391	1365
223	392	1360
224	393	1356
225	394	1352
226	395	1347
227	396	1342
228	397	1337
229	397	1332
230	398	1327
231	399	1322
232	400	1317
233	400	1312
234	402	1311
235	403	1306
236	405	1304
237	406	1300
238	407	1296
239	407	1291
240	410	1291
241	411	1289
242	412	1285
243	413	1280
244	414	1276
245	415	1272
246	416	1270
247	417	1265
248	418	1261
249	419	1257
250	419	1252
251	420	1247
252	421	1243
253	421	1239
254	422	1234
255	423	1231
256	424	1227
257	425	1223
258	426	1219
259	427	1215
260	427	1211
261	428	1206
262	429	1202
263	429	1198
264	430	1194
265	432	1193
266	433	1191
267	435	1188
268	436	1184
269	436	1181
270	438	1178
271	440	1178
272	441	1175
273	442	1171
274	443	1169
275	444	1165
276	445	1161
277	445	1158
278	446	1154
279	447	1150
280	448	1146
281	448	1142
282	449	1139
283	450	1135
284	451	1131
285	451	1127
286	452	1124
287	453	1121
288	454	1118
289	455	1114
290	456	1111
291	456	1107
292	457	1104
293	458	1101
294	459	1097
295	460	1094
296	462	1093
297	463	1090
298	464	1088
299	465	1085
300	465	1081
301	466	1078
302	467	1076
303	469	1074
304	470	1071
305	471	1068
306	472	1065
307	472	1062
308	474	1060
309	475	1057
310	476	1054
311	476	1051
312	477	1048
313	478	1045
314	479	1042
315	480	1039
316	481	1036
317	482	1034
318	483	1031
319	484	1030
320	487	1030
321	491	1034
322	492	1031
323	495	1032
324	495	1030
325	497	1027
326	500	1029
327	501	1026
328	502	1023
329	503	1022
330	506	1023
331	507	1020
332	508	1018
333	509	1015
334	510	1012
335	511	1010
336	512	1007
337	513	1006
338	515	1004
339	516	1002
340	517	999
341	518	996
342	519	994
343	520	992
344	521	989
345	522	987
346	523	985
347	524	982
348	525	979
349	526	977
350	527	975
351	528	973
352	529	970
353	530	967
354	531	965
355	532	962
356	533	960
357	534	958
358	535	956
359	536	953
360	537	951
361	538	948
362	539	946
363	539	943
364	541	941
365	542	939
366	543	937
367	544	934
368	544	931
369	545	929
370	546	926
371	547	924
372	548	922
373	549	920
374	550	917
